Prefix,Country,ITU,CQ,Continent
5E,MOROCCO,37,33,AF
5F,MOROCCO,37,33,AF
5G,MOROCCO,37,33,AF
5H,TANZANIA,53,37,AF
5I,TANZANIA,53,37,AF
5J,COLUMBIA,12,9,SA
5K,COLUMBIA,12,9,SA
5L,LIBERIA,46,35,AF
5M,LIBERIA,46,35,AF
5N,NIGERIA,46,35,AF
5O,NIGERIA,46,35,AF
5P,DENMARK,18,14,EU
5Q,DENMARK,18,14,EU
5R,MADAGASCAR,53,39,AF
5S,MADAGASCAR,53,39,AF
5T,MAURITANIA,46,35,AF
5U,NIGER,46,35,AF
5V,TOGO,46,35,AF
5W,WESTERN SAMOA,62,32,OC
5X,UGANDA,48,37,AF
5Y,KENYA,48,37,AF
5Z,KENYA,48,37,AF
6A,EGYPT,38,34,AF
6B,EGYPT,38,34,AF
6C,SYRIA,39,20,AS
6D,MEXICO,10,6,NA
6E,MEXICO,10,6,NA
6F,MEXICO,10,6,NA
6G,MEXICO,10,6,NA
6H,MEXICO,10,6,NA
6I,MEXICO,10,6,NA
6J,MEXICO,10,6,NA
6K,KOREA,44,25,AS
6L,KOREA,44,25,AS
6M,KOREA,44,25,AS
6N,KOREA,44,25,AS
6O,SOMALIA,48,37,AF
6P,PAKISTAN,41,21,AS
6Q,PAKISTAN,41,21,AS
6R,PAKISTAN,41,21,AS
6S,PAKISTAN,41,21,AS
6T,SUDAN,48,34,AF
6U,SUDAN,48,34,AF
6V,SENEGAL,46,35,AF
6W,SENEGAL,46,35,AF
6Y,JAMAICA,11,8,NA
6Z,LIBERIA,46,35,AF
7A,INDONESIA,54,28,OC
7B,INDONESIA,54,28,OC
7C,INDONESIA,54,28,OC
7D,INDONESIA,54,28,OC
7E,INDONESIA,54,28,OC
7F,INDONESIA,54,28,OC
7G,INDONESIA,54,28,OC
7H,INDONESIA,54,28,OC
7I,INDONESIA,54,28,OC
7J,JAPAN,45,25,AS
7K,JAPAN,45,25,AS
7L,JAPAN,45,25,AS
7M,JAPAN,45,25,AS
7N,JAPAN,45,25,AS
7O,YEMEN,39,"21,37",AS
7P,LESOTHO,57,38,AF
7Q,MALAWI,53,37,AF
7R,ALGERIA,37,33,AF
7S,SWEDEN,18,14,EU
7T,ALGERIA,37,33,AF
7U,ALGERIA,37,33,AF
7V,ALGERIA,37,33,AF
7W,ALGERIA,37,33,AF
7X,ALGERIA,37,33,AF
7Y,ALGERIA,37,33,AF
7Z,SAUDI ARABIA,39,21,AS
8A,INDONESIA,54,28,OC
8B,INDONESIA,54,28,OC
8C,INDONESIA,54,28,OC
8D,INDONESIA,54,28,OC
8E,INDONESIA,54,28,OC
8F,INDONESIA,54,28,OC
8G,INDONESIA,54,28,OC
8H,INDONESIA,54,28,OC
8I,INDONESIA,54,28,OC
8J,JAPAN,45,25,AS
8K,JAPAN,45,25,AS
8L,JAPAN,45,25,AS
8M,JAPAN,45,25,AS
8N,JAPAN,45,25,AS
8O,BOTSWANA,57,38,AF
8P,BARBADOS,11,8,NA
8Q,MALDIVES,41,22,AS
8R,GUYANA,12,10,SA
8S,SWEDEN,18,14,EU
8T,INDIA,41,22,AS
8U,INDIA,41,22,AS
8V,INDIA,41,22,AS
8W,INDIA,41,22,AS
8X,INDIA,41,22,AS
8Y,INDIA,41,22,AS
8Z,SAUDI ARABIA,39,21,AS
9A,CROATIA,28,15,EU
9G,GHANA,46,35,AF
9H,MALTA,28,15,EU
9I,ZAMBIA,53,37,AF
9J,ZAMBIA,53,37,AF
9K,KUWAIT,39,21,AS
9L,SIERRA LEONE,46,35,AF
9M2,MALAYSIA - WEST,54,28,AS
9M4,MALAYSIA - WEST,54,28,AS
9M6,MALAYSIA - EAST,54,28,OC
9M8,MALAYSIA - EAST,54,28,OC
9N,NEPAL,42,22,AS
9O,CONGO,52,36,AF
9P,CONGO,52,36,AF
9Q,CONGO,52,36,AF
9R,CONGO,52,36,AF
9S,CONGO,52,36,AF
9T,CONGO,52,36,AF
9U,BURUNDI,52,36,AF
9V,SINGAPORE,54,28,AS
9W,WEST MALAYSIA,54,28,AS
9X,RWANDA,52,36,AF
9Y,TRINIDAD & TOBAGO,11,9,SA
9Z,TRINIDAD & TOBAGO,11,9,SA
A2,BOTSWANA,57,38,AF
A3,TONGA,62,32,OC
A4,OMAN,39,21,AS
A5,BHUTAN,41,22,AS
A6,UNITED ARAB EMIRATES,39,21,AS
A7,QATAR,39,21,AS
A8,LIBERIA,46,35,AF
A9,BAHRAIN,39,21,AS
AA,USA,7,,NA
AB,USA,8,,NA
AC,USA,8,,NA
AD,USA,8,,NA
AE,USA,8,,NA
AF,USA,8,,NA
AG,USA,8,,NA
AH,USA,8,,NA
AH8,USA AMERICAN SAMOA,62,32,OC
AI,USA,8,,NA
AJ,USA,8,,NA
AK,USA,1,,NA
AL,USA,8,,NA
AM,SPAIN,37,,EU
AN,SPAIN,37,,EU
AO,SPAIN,37,,EU
AP,PAKISTAN,41,,AS
AQ,PAKISTAN,41,,AS
AR,PAKISTAN,41,,AS
AS,PAKISTAN,41,,AS
AT,INDIA,41,22,AS
AU,INDIA,41,22,AS
AV,INDIA,41,22,AS
AW,INDIA,41,22,AS
AX0,AUSTRALIA,70,29,AN
AX1,AUSTRALIA,59,30,OC
AX2,AUSTRALIA,59,30,OC
AX3,AUSTRALIA,59,30,OC
AX4,AUSTRALIA,55,30,OC
AX5,AUSTRALIA,59,30,OC
AX6,AUSTRALIA,58,29,OC
AX7,AUSTRALIA,59,30,OC
AX8,AUSTRALIA,55,29,OC
AX9,AUSTRALIA,"55,59",,OC
AY,ARGENTINA,14,13,SA
AZ,ARGENTINA,14,13,SA
BA,CHINA,"33,42,43,44","23,24",AS
BB,CHINA,"33,42,43,44","23,24",AS
BC,CHINA,"33,42,43,44","23,24",AS
BD,CHINA,"33,42,43,44","23,24",AS
BE,CHINA,"33,42,43,44","23,24",AS
BF,CHINA,"33,42,43,44","23,24",AS
BG,CHINA,"33,42,43,44","23,24",AS
BH,CHINA,"33,42,43,44","23,24",AS
BI,CHINA,"33,42,43,44","23,24",AS
BJ,CHINA,"33,42,43,44","23,24",AS
BK,CHINA,"33,42,43,44","23,24",AS
BL,CHINA,"33,42,43,44","23,24",AS
BM,TAIWAN,44,24,AS
BN,TAIWAN,44,24,AS
BO,TAIWAN,44,24,AS
BP,CHINA,"33,42,43,44","23,24",AS
BQ,TAIWAN,44,24,AS
BR,CHINA,"33,42,43,44","23,24",AS
BS,CHINA,"33,42,43,44","23,24",AS
BS7,SCARBOROUGH REEF,50,27,AS
BT,CHINA,"33,42,43,44","23,24",AS
BT0,CHINA,"33,42,43,44","23,24",AS
BT1,CHINA,"33,42,43,44","23,24",AS
BT2,CHINA,"33,42,43,44","23,24",AS
BT3,CHINA,"33,42,43,44","23,24",AS
BT4,CHINA,"33,42,43,44","23,24",AS
BT5,CHINA,"33,42,43,44","23,24",AS
BT6,CHINA,"33,42,43,44","23,24",AS
BT7,CHINA,"33,42,43,44","23,24",AS
BT8,CHINA,"33,42,43,44","23,24",AS
BT9,CHINA,"33,42,43,44","23,24",AS
BU,CHINA,"33,42,43,44","23,24",AS
BV,TAIWAN,44,24,AS
BV9,PRATAS ISLAND,44,24,AS
BW,CHINA,"33,42,43,44","23,24",AS
BX,TAIWAN,44,24,AS
BY0,CHINA,"33,42,43,44","23,24",AS
BY1,CHINA,"33,42,43,44","23,24",AS
BY2,CHINA,"33,42,43,44","23,24",AS
BY3,CHINA,"33,42,43,44","23,24",AS
BY4,CHINA,"33,42,43,44","23,24",AS
BY5,CHINA,"33,42,43,44","23,24",AS
BY6,CHINA,"33,42,43,44","23,24",AS
BY7,CHINA,"33,42,43,44","23,24",AS
BY8,CHINA,"33,42,43,44","23,24",AS
BY9,CHINA,"33,42,43,44","23,24",AS
BZ,CHINA,"33,42,43,44","23,24",AS
C2,NAURU,65,31,OC
C3,ANDORRA,27,14,EU
C4,CYPRUS,39,20,AS
C5,GAMBIA,46,35,AF
C6,BAHAMAS,11,8,NA
C8,MOZAMBIQUE,53,37,AF
C9,MOZAMBIQUE,53,37,AF
CA,CHILE,14,12,SA
CB,CHILE,14,12,SA
CC,CHILE,14,12,SA
CD,CHILE,14,12,SA
CE0A,EASTER,63,12,SA
CE0X,SAN FELIX,14,12,SA
CE0Z,JUAN FERNANDEZ,14,12,SA
CE1,CHILE,12,12,SA
CE2,CHILE,12,12,SA
CE3,CHILE,12,12,SA
CE4,CHILE,12,12,SA
CE5,CHILE,12,12,SA
CE6,CHILE LOS LAGOS,12,12,SA
CE7,CHILE AISEN,12,12,SA
CE8,CHILE MAGALLANES,12,12,SA
CE9,CHILE,67,13,SA
CF,CANADA,9,,NA
CG,CANADA,9,,NA
CH,CANADA,9,,NA
CI,CANADA,9,,NA
CJ,CANADA,9,,NA
CK,CANADA,9,,NA
CL,CUBA,11,8,NA
CM,CUBA,11,8,NA
CN,MOROCCO,37,33,AF
CO,CUBA,11,8,NA
CP,BOLIVIA,12,10,SA
CQ,PORTUGAL,37,14,EU
CR,PORTUGAL,37,14,EU
CS,PORTUGAL,37,14,EU
CT,PORTUGAL,37,14,EU
CT3,MADEIRA,36,33,AF
CU,PORTUGAL,36,14,EU
CV,URUGUAY,14,13,SA
CW,URUGUAY,14,13,SA
CX,URUGUAY,14,13,SA
CY,CANADA,9,,NA
CY9,CANADA,9,5,NA
CZ,CANADA,9,,NA
D2,ANGOLA,52,36,AF
D3,ANGOLA,52,36,AF
D4,CAPE VERDE,46,26,AF
D5,LIBERIA,46,35,AF
D6,COMOROS,53,39,AF
DA,GERMANY,28,14,EU
DB,GERMANY,28,14,EU
DC,GERMANY,28,14,EU
DD,GERMANY,28,14,EU
DE,GERMANY,28,14,EU
DF,GERMANY,28,14,EU
DG,GERMANY,28,14,EU
DH,GERMANY,28,14,EU
DI,GERMANY,28,14,EU
DJ,GERMANY,28,14,EU
DK,GERMANY,28,14,EU
DL,GERMANY,28,14,EU
DM,GERMANY,28,14,EU
DN,GERMANY,28,14,EU
DO,GERMANY,28,14,EU
DP,GERMANY,28,14,EU
DQ,GERMANY,28,14,EU
DR,GERMANY,28,14,EU
DS,KOREA,44,25,AS
DU,PHILIPINES,50,27,OC
DV,PHILIPINES,50,27,OC
DW,PHILIPINES,50,27,OC
DX,PHILIPINES,50,27,OC
DY,PHILIPINES,50,27,OC
DZ,PHILIPINES,50,27,OC
E2,THAILAND,49,26,AS
E3,ERITREA,48,37,AF
E4,PALESTINE,39,20,AS
E5,COOK,62,32,OC
E6,,,,
E7,BOSNIA,28,15,EU
EA,SPAIN,37,14,EU
EA8,CANARY,36,33,AF
EA9,CEUTA,37,33,AF
EB,SPAIN,37,14,EU
EB8,CANARY,36,33,AF
EB9,CEUTA,37,33,AF
EC,SPAIN,37,14,EU
EC8,CANARY,36,33,AF
EC9,CEUTA,37,33,AF
ED,SPAIN,37,14,EU
ED8,CANARY,36,33,AF
ED9,CEUTA,37,33,AF
EE,SPAIN,37,14,EU
EE8,CANARY,36,33,AF
EE9,CEUTA,37,33,AF
EF,SPAIN,37,14,EU
EF8,CANARY,36,33,AF
EF9,CEUTA,37,33,AF
EG,SPAIN,37,14,EU
EG8,CANARY,36,33,AF
EG9,CEUTA,37,33,AF
EH,SPAIN,37,14,EU
EH8,CANARY,36,33,AF
EH9,CEUTA,37,33,AF
EI,IRELAND,27,14,EU
EJ,IRELAND,27,14,EU
EK,ARMENIA,29,15,AS
EL,LIBERIA,46,35,AF
EM,UKRAINE,29,16,EU
EN,UKRAINE,29,16,EU
EO,UKRAINE,29,16,EU
EP,IRAN,40,21,AS
EQ,IRAN,40,21,AS
ER,MOLDOVA,29,16,EU
ES,ESTONIA,29,15,EU
ET,ETHIOPIA,48,37,AF
EU,BELARUS,29,16,EU
EV,BELARUS,29,16,EU
EW,BELARUS,29,16,EU
EX,KYRGYZSTAN,30,17,AS
EY,TAJIKISTAN,30,17,AS
EZ,TURKMENISTAN,30,17,AS
F0,FRANCE,27,14,EU
F1,FRANCE,27,14,EU
F2,FRANCE,27,14,EU
F3,FRANCE,27,14,EU
F4,FRANCE,27,14,EU
F5,FRANCE,27,14,EU
F6,FRANCE,27,14,EU
F7,FRANCE,27,14,EU
F8,FRANCE,27,14,EU
F9,FRANCE,27,14,EU
FA,FRANCE,27,14,EU
FB,FRANCE,27,14,EU
FC,FRANCE,27,14,EU
FD,FRANCE,27,14,EU
FE,FRANCE,27,14,EU
FF,FRANCE,27,14,EU
FG,FRANCE GUADELOUPE,11,8,NA
FH,FRANCE MAYOTTE,53,39,AF
FI,FRANCE,27,14,EU
FJ,FRANCE ST MARTIN,11,8,NA
FK,FRANCE NEW CALEDONIA,56,32,OC
FL,FRANCE,27,14,EU
FM,MARTINIQUE,11,8,NA
FN,FRANCE,27,14,EU
FO,AUSTRALS,63,32,OC
FP,ST PIERRE,9,5,NA
FQ,FRANCE,27,14,EU
FR,"REUNION, TROMELIN",53,39,AF
FS,ST MARTIN,11,8,NA
FT5W,CROZET,68,39,AF
FT5X,KERGUELEN,68,39,AF
FT5Z,AMSTERDAM PAUL,68,39,AF
FU,FRANCE,27,14,EU
FV,FRANCE,27,14,EU
FW,WALLIS,62,32,OC
FY,FRENCH GUIANA,12,9,SA
FZ,FRANCE,27,14,EU
G0,UNITED KINGDOM,27,14,EU
G1,ENGLAND,27,14,EU
G2,ENGLAND,27,14,EU
G3,ENGLAND,27,14,EU
G4,ENGLAND,27,14,EU
G5,ENGLAND,27,14,EU
G6,ENGLAND,27,14,EU
G7,ENGLAND,27,14,EU
G8,ENGLAND,27,14,EU
G9,ENGLAND,27,14,EU
GA,UK,27,14,EU
GB,UK,27,14,EU
GC,UK,27,14,EU
GD,UK,27,14,EU
GE,UK,27,14,EU
GF,UK,27,14,EU
GG,UK,27,14,EU
GH,UK,27,14,EU
GI,UK,27,14,EU
GJ,UK,27,14,EU
GK,UK,27,14,EU
GL,UK,27,14,EU
GM,UK,27,14,EU
GN,UK,27,14,EU
GO,UK,27,14,EU
GP,UK,27,14,EU
GQ,UK,27,14,EU
GR,UK,27,14,EU
GS,UK,27,14,EU
GT,UK,27,14,EU
GU,UK,27,14,EU
GV,UK,27,14,EU
GW,WALES,27,14,EU
GX,UK,27,14,EU
GY,UK,27,14,EU
GZ,UK,27,14,EU
H2,CYPRUS,39,20,AS
H3,PANAMA,11,7,NA
H40,SOLOMON ISLANDS,51,28,OC
H44,SOLOMON ISLANDS,51,28,OC
H6,NICARAGUA,11,7,NA
H7,NICARAGUA,11,7,NA
H8,PANAMA,11,7,NA
H9,PANAMA,11,7,NA
HA,HUNGARY,28,15,EU
HB,SWITZERLAND,28,15,EU
HC,ECUADOR,12,10,SA
HD,ECUADOR,12,10,SA
HE,SWITZERLAND,28,14,EU
HG,HUNGARY,28,14,EU
HH,HAITI,11,8,NA
HI,DOMINICAN REPUBLIC,11,8,NA
HJ,COLOMBIA,12,9,SA
HK,COLOMBIA,12,9,SA
HK0,COLOMBIA SAN ANDRES,11,9,NA
HK0M,COLOMBIA MALPELO,12,9,NA
HL,KOREA,44,25,AS
HM,NORTH KOREA,44,25,AS
HO,PANAMA,11,7,NA
HP,PANAMA,11,7,NA
HQ,HONDURAS,11,7,NA
HR,HONDURAS,11,7,NA
HS,THAILAND,49,26,AS
HT,NICARAGUA,11,7,NA
HU,EL SALVADOR,11,7,NA
HV,VATICAN,28,15,EU
HZ,SAUDI ARABIA,39,21,AS
I,ITALY,28,15,EU
IG9,ITALY,,33,AF
IH9,PANTELLERIA ISL.,,33,AF
J2,DJIBOUTI,48,37,AF
J3,GRENADA,11,8,NA
J4,GREECE,28,20,EU
J5,GUINEA-BISSAU,46,35,AF
J6,SAINT LUCIA,11,8,NA
J7,DOMINICA,11,8,NA
J8,ST VINCENT GRENADINE,11,8,NA
JA,JAPAN,45,25,AS
JB,JAPAN,45,25,AS
JC,JAPAN,45,25,AS
JD,JAPAN,90,25,OC
JE,JAPAN,45,25,AS
JF,JAPAN,45,25,AS
JG,JAPAN,45,25,AS
JH,JAPAN,45,25,AS
JI,JAPAN,45,25,AS
JJ,JAPAN,45,25,AS
JK,JAPAN,45,25,AS
JL,JAPAN,45,25,AS
JM,JAPAN,45,25,AS
JN,JAPAN,45,25,AS
JO,JAPAN,45,25,AS
JP,JAPAN,45,25,AS
JQ,JAPAN,45,25,AS
JR,JAPAN,45,25,AS
JS,JAPAN,45,25,AS
JT,MONGOLIA,32,23,AS
JU,MONGOLIA,32,23,AS
JV,MONGOLIA,32,23,AS
JW,Svalbard/Bear,18,40,EU
JX,Jan Mayen - Norway,18,40,EU
JY,JORDAN,39,20,AS
JZ,INDONESIA,54,28,OC
K0,USA,,,NA
K1,USA,,,NA
K2,USA,,5,NA
K3,USA,,,NA
K4,USA,,,NA
K5,USA,,,NA
K6,USA,,3,NA
K7,USA,,3,NA
K8,USA,,,NA
K9,USA,,,NA
KA,USA,,,NA
KB,USA,,,NA
KC,USA,,,NA
KD,USA,,,NA
KE,USA,,,NA
KF,USA,,,NA
KG4,GUATANEMO BAY,11,8,NA
KH0,USA MARIANA,64,27,OC
KH1,USA BAKER HOWLAND,61,31,OC
KH2,USA GUAM,64,27,OC
KH3,USA JOHNSON,61,31,OC
KH4,USA MIDWAY,61,31,OC
KH5,USA PALMYRA,61,31,OC
KH6,USA HAWAII,61,31,OC
KH7,USA HAWAII,61,31,OC
KH8,USA AMERICAN SAMOA,62,32,OC
KH9,USA WAKE,65,31,OC
KI,USA,,,NA
KJ,USA,,,NA
KK,USA,,,NA
KL,USA,,1,NA
KM,USA,,,NA
KN,USA,,,NA
KO,USA,,,NA
KP1,NAVASSA,11,8,NA
KP2,VIRGIN,11,8,NA
KP3,PUERTO RICO,11,8,NA
KP4,PUERTO RICO,11,8,NA
KP5,DESECHEO,11,8,NA
KQ,USA,,,NA
KR,USA,,,NA
KS,USA,,,NA
KT,USA,,,NA
KU,USA,,,NA
KV,USA,,,NA
KW,USA,,,NA
KX,USA,,,NA
KY,USA,,,NA
KZ,USA,,,NA
L2,ARGENTINA,14,13,SA
L3,ARGENTINA,14,13,SA
L4,ARGENTINA,14,13,SA
L5,ARGENTINA,14,13,SA
L6,ARGENTINA,14,13,SA
L7,ARGENTINA,14,13,SA
L8,ARGENTINA,14,13,SA
L9,ARGENTINA,14,13,SA
LA,NORWAY,18,14,EU
LB,NORWAY,18,14,EU
LC,NORWAY,18,14,EU
LD,NORWAY,18,14,EU
LE,NORWAY,18,14,EU
LF,NORWAY,18,14,EU
LG,NORWAY,18,14,EU
LH,NORWAY,18,14,EU
LI,NORWAY,18,14,EU
LJ,NORWAY,18,14,EU
LK,NORWAY,18,14,EU
LL,NORWAY,18,14,EU
LM,NORWAY,18,14,EU
LN,NORWAY,18,14,EU
LO,ARGENTINA,14,13,SA
LP,ARGENTINA,14,13,SA
LQ,ARGENTINA,14,13,SA
LR,ARGENTINA,14,13,SA
LS,ARGENTINA,14,13,SA
LT,ARGENTINA,14,13,SA
LU,ARGENTINA,14,13,SA
LW,ARGENTINA,14,13,SA
LX,LUXEMBURG,27,14,EU
LY,LITHUANIA,29,15,EU
LZ,BULGARIA,28,20,EU
M0,UK,27,14,EU
M1,UK,27,14,EU
M2,UK,27,14,EU
M3,UK,27,14,EU
M4,UK,27,14,EU
M5,UK,27,14,EU
M6,UK,27,14,EU
M7,UK,27,14,EU
M8,UK,27,14,EU
M9,UK,27,14,EU
MW,WALES,27,14,EU
MZ,SHETLANDS,73,13,EU
N0,USA,,,NA
N1,USA,,,NA
N2,USA,,5,NA
N3,USA,,,NA
N4,USA,,,NA
N5,USA,,,NA
N6,USA,,3,NA
N7,USA,,3,NA
N8,USA,,,NA
N9,USA,,,NA
NA,USA,,,NA
NB,USA,,,NA
NC,USA,,,NA
ND,USA,,,NA
NE,USA,,,NA
NF,USA,,,NA
NG,USA,,,NA
NH0,USA MARIANA,64,27,OC
NH1,USA BAKER HOWLAND,61,31,OC
NH2,USA GUAM,64,27,OC
NH3,USA JOHNSON,61,31,OC
NH4,USA MIDWAY,61,31,OC
NH5,USA PALMYRA,61,31,OC
NH6,USA HAWAII,61,31,OC
NH7,USA HAWAII,61,31,OC
NH8,USA AMERICAN SAMOA,62,32,OC
NH9,USA WAKE,65,31,OC
NI,USA,,,NA
NJ,USA,,,NA
NK,USA,,,NA
NL,USA,,,NA
NM,USA,,,NA
NN,USA,,,NA
NO,USA,,,NA
NP,PUERTO RICO,,8,NA
NQ,USA,,,NA
NR,USA,,,NA
NS,USA,,,NA
NT,USA,,,NA
NU,USA,,,NA
NV,USA,,,NA
NW,USA,,,NA
NX,USA,,,NA
NY,USA,,,NA
NZ,USA,,,NA
OA,PERU,12,10,SA
OB,PERU,12,10,SA
OC,PERU,12,10,SA
OD,LEBANON,39,20,AS
OE,AUSTRIA,28,15,EU
OF,FINLAND,18,15,EU
OG,FINLAND,18,15,EU
OH,FINLAND,18,15,EU
OI,FINLAND,18,15,EU
OJ,FINLAND,18,15,EU
OK,CZECH,28,15,EU
OL,CZECH,28,15,EU
OM,SLOVAK,28,15,EU
ON,BELGIUM,27,14,EU
OO,BELGIUM,27,14,EU
OP,BELGIUM,27,14,EU
OQ,BELGIUM,27,14,EU
OR,BELGIUM,27,14,EU
OS,BELGIUM,27,14,EU
OT,BELGIUM,27,14,EU
OX,GREENLAND,75,40,EU
OY,FAROE,18,14,EU
OZ,DENMARK,18,14,EU
P2,PAPUA NEW GUINEA,51,28,OC
P3,CYPRUS,39,20,AS
P4,ARUBA,11,9,SA
P5,NORTH KOREA,44,25,AS
P6,NORTH KOREA,44,25,AS
P7,NORTH KOREA,44,25,AS
P8,NORTH KOREA,44,25,AS
P9,NORTH KOREA,44,25,AS
PA,NETHERLANDS,27,14,EU
PB,NETHERLANDS,27,14,EU
PC,NETHERLANDS,27,14,EU
PD,NETHERLANDS,27,14,EU
PE,NETHERLANDS,27,14,EU
PF,NETHERLANDS,27,14,EU
PG,NETHERLANDS,27,14,EU
PH,NETHERLANDS,27,14,EU
PI,NETHERLANDS,27,14,EU
PJ2,NETH ANTILLES,11,9,SA
PJ4,NETH ANTILLES,11,9,SA
PJ5,NETH ANTILLES,11,8,NA
PJ6,NETH ANTILLES,11,8,NA
PJ7,NETH ANTILLES,11,8,NA
PJ8,NETH ANTILLES,11,8,NA
PJ9,NETH ANTILLES,11,9,SA
PK,INDONESIA,54,28,OC
PL,INDONESIA,54,28,OC
PM,INDONESIA,54,28,OC
PN,INDONESIA,54,28,OC
PO,INDONESIA,54,28,OC
PP,BRAZIL,"13,15",11,SA
PQ,BRAZIL,"13,15",11,SA
PR,BRAZIL,"13,15",11,SA
PS,BRAZIL,"13,15",11,SA
PT,BRAZIL,"13,15",11,SA
PU,BRAZIL,"13,15",11,SA
PV,BRAZIL,"13,15",11,SA
PW,BRAZIL,"13,15",11,SA
PX,BRAZIL,"13,15",11,SA
PY,BRAZIL,"13,15",11,SA
PY0,"St Peter, St Paul, Trinidade",13,11,SA
PY0T,TRINIDADE,15,11,SA
PZ,SURINAME,12,10,SA
R0,ASIATIC RUSSIA,,,AS
R1,EUROPEAN RUSSIA,,16,EU
R1FJ,EUROPEAN RUSSIA,75,,EU
R1MV,EUROPEAN RUSSIA,29,,EU
R2,Kaliningradsk EU Russia,,15,EU
R3,EUROPEAN RUSSIA,,16,EU
R4,EUROPEAN RUSSIA,,16,EU
R5,EUROPEAN RUSSIA,,16,EU
R6,EUROPEAN RUSSIA,,16,EU
R7,ASIATIC RUSSIA,,,AS
R9,ASIATIC RUSSIA,,,AS
RA0,ASIATIC RUSSIA,,,AS
RA1,ASIATIC RUSSIA,,,AS
RA4,ASIATIC RUSSIA,,,AS
RA6,ASIATIC RUSSIA,,,AS
RA8,ASIATIC RUSSIA,,,AS
RA9,ASIATIC RUSSIA,,,AS
RZ0,ASIATIC RUSSIA,,,AS
RZ1,ASIATIC RUSSIA,,,AS
RZ4,ASIATIC RUSSIA,,,AS
RZ6,ASIATIC RUSSIA,,,AS
RZ8,ASIATIC RUSSIA,,,AS
RZ9,ASIATIC RUSSIA,,,AS
S0,WESTERN SAHARA,37,33,AF
S2,BANGLADESH,41,22,AS
S5,SLOVENIA,28,15,EU
S7,SEYCHELLES,53,39,AF
S8,SOUTH AFRICA,57,38,AF
S9,SAO TOME PRINCIPE,47,36,AF
SA,SWEDEN,18,14,EU
SB,SWEDEN,18,14,EU
SC,SWEDEN,18,14,EU
SD,SWEDEN,18,14,EU
SE,SWEDEN,18,14,EU
SF,SWEDEN,18,14,EU
SG,SWEDEN,18,14,EU
SH,SWEDEN,18,14,EU
SI,SWEDEN,18,14,EU
SJ,SWEDEN,18,14,EU
SK,SWEDEN,18,14,EU
SL,SWEDEN,18,14,EU
SM,SWEDEN,18,14,EU
SN,POLAND,28,,EU
SO,POLAND,28,,EU
